SalesDate,ProductKey,CustomerKey,StoreKey,Quantity,UnitPrice,Discount,TotalSales
2023-01-01,PROD0009,131,STORE0001,4,57.19,3.77,224.99
2023-02-01,PROD0037,155,STORE0007,9,401.31,37.29,3574.5
2023-03-01,PROD0046,125,STORE0002,6,430.82,29.46,2555.46
2023-04-01,PROD0034,163,STORE0001,6,202.99,48.12,1169.82
2023-05-01,PROD0036,227,STORE0006,5,94.21,11.7,459.35
2023-06-01,PROD0005,9,STORE0002,7,445.99,8.24,3113.69
2023-07-01,PROD0014,282,STORE0004,5,434.05,4.92,2165.33
2023-08-01,PROD0044,28,STORE0010,2,109.61,40.08,179.14
2023-09-01,PROD0050,75,STORE0003,5,127.37,5.4,631.45
2023-10-01,PROD0040,33,STORE0001,9,322.52,29.69,2872.99
2023-11-01,PROD0034,2,STORE0004,9,162.81,46.0,1419.29
2023-12-01,PROD0013,291,STORE0006,7,208.96,34.55,1428.17
2024-01-01,PROD0011,258,STORE0004,1,201.83,1.99,199.84
2024-02-01,PROD0019,152,STORE0002,9,203.9,20.93,1814.17
2024-03-01,PROD0033,154,STORE0005,5,217.26,40.57,1045.73
2024-04-01,PROD0004,26,STORE0010,6,90.89,45.17,500.17
2024-05-01,PROD0039,251,STORE0007,5,323.4,38.03,1578.97
2024-06-01,PROD0046,297,STORE0008,1,242.22,9.83,232.39
2024-07-01,PROD0033,252,STORE0006,9,444.25,44.96,3953.29
2024-08-01,PROD0025,46,STORE0007,5,305.15,41.93,1483.82
2024-09-01,PROD0042,263,STORE0006,4,161.53,15.46,630.66
2024-10-01,PROD0032,116,STORE0003,2,318.5,5.36,631.64
2024-11-01,PROD0023,76,STORE0005,9,490.63,19.05,4396.62
2024-12-01,PROD0028,37,STORE0004,7,306.45,5.68,2139.47
2023-01-01,PROD0010,31,STORE0003,1,210.73,30.42,180.31
2023-02-01,PROD0049,57,STORE0005,5,412.76,26.89,2036.91
2023-03-01,PROD0017,186,STORE0003,2,187.96,39.37,336.55
2023-04-01,PROD0044,156,STORE0010,5,34.71,42.99,130.56
2023-05-01,PROD0012,53,STORE0006,1,430.27,9.31,420.96
2023-06-01,PROD0004,202,STORE0004,3,378.85,43.73,1092.82
2023-07-01,PROD0042,42,STORE0008,5,34.01,21.21,148.84
2023-08-01,PROD0046,120,STORE0010,5,463.06,45.92,2269.38
2023-09-01,PROD0008,133,STORE0004,9,281.88,43.08,2493.84
2023-10-01,PROD0028,69,STORE0003,1,44.68,7.19,37.49
2023-11-01,PROD0002,152,STORE0004,3,143.54,48.7,381.92
2023-12-01,PROD0032,243,STORE0010,6,473.34,33.87,2806.17
2024-01-01,PROD0039,283,STORE0008,3,490.66,17.09,1454.89
2024-02-01,PROD0029,15,STORE0008,4,413.37,22.84,1630.64
2024-03-01,PROD0003,167,STORE0002,3,176.32,5.83,523.13
2024-04-01,PROD0030,186,STORE0001,3,290.61,41.31,830.52
2024-05-01,PROD0043,233,STORE0006,4,359.37,24.1,1413.38
2024-06-01,PROD0036,196,STORE0008,5,209.86,12.95,1036.35
2024-07-01,PROD0041,189,STORE0003,9,114.7,39.43,992.87
2024-08-01,PROD0017,188,STORE0002,5,26.05,10.2,120.05
2024-09-01,PROD0044,227,STORE0006,7,392.85,34.35,2715.6
2024-10-01,PROD0049,31,STORE0010,7,155.96,11.39,1080.33
2024-11-01,PROD0017,96,STORE0001,7,52.91,21.2,349.17
2024-12-01,PROD0003,220,STORE0005,5,302.5,25.32,1487.18
2023-01-01,PROD0015,271,STORE0010,2,282.78,25.16,540.4
2023-02-01,PROD0005,254,STORE0007,9,201.78,46.92,1769.1
2023-03-01,PROD0027,211,STORE0005,3,386.02,0.65,1157.41
2023-04-01,PROD0016,33,STORE0009,3,312.03,2.95,933.14
2023-05-01,PROD0036,226,STORE0006,1,37.3,17.27,20.03
2023-06-01,PROD0042,205,STORE0005,1,20.68,9.12,11.56
2023-07-01,PROD0014,8,STORE0005,4,235.18,47.19,893.53
2023-08-01,PROD0026,21,STORE0006,5,145.75,37.1,691.65
2023-09-01,PROD0029,128,STORE0001,5,405.27,8.34,2018.01
2023-10-01,PROD0009,172,STORE0010,3,456.71,8.42,1361.71
2023-11-01,PROD0041,211,STORE0007,3,458.06,0.72,1373.46
2023-12-01,PROD0040,205,STORE0003,7,390.04,35.75,2694.53
2024-01-01,PROD0045,196,STORE0006,3,52.81,4.57,153.86
2024-02-01,PROD0002,78,STORE0004,4,463.68,12.5,1842.22
2024-03-01,PROD0006,41,STORE0010,6,499.91,42.88,2956.58
2024-04-01,PROD0003,244,STORE0002,6,486.85,39.23,2881.87
2024-05-01,PROD0014,255,STORE0003,7,108.7,24.09,736.81
2024-06-01,PROD0043,32,STORE0003,9,81.25,29.41,701.84
2024-07-01,PROD0030,231,STORE0006,3,294.21,28.88,853.75
2024-08-01,PROD0029,37,STORE0010,2,425.8,11.09,840.51
2024-09-01,PROD0017,101,STORE0010,4,204.0,28.63,787.37
2024-10-01,PROD0043,74,STORE0001,8,434.92,38.35,3441.01
2024-11-01,PROD0047,79,STORE0007,2,418.85,15.33,822.37
2024-12-01,PROD0020,248,STORE0010,8,343.1,44.66,2700.14
2023-01-01,PROD0021,113,STORE0010,8,235.35,33.96,1848.84
2023-02-01,PROD0034,162,STORE0005,1,116.13,43.4,72.73
2023-03-01,PROD0010,193,STORE0008,3,385.74,48.01,1109.21
2023-04-01,PROD0001,202,STORE0001,4,481.01,11.69,1912.35
2023-05-01,PROD0009,293,STORE0004,4,51.38,3.48,202.04
2023-06-01,PROD0003,139,STORE0002,2,295.39,29.92,560.86
2023-07-01,PROD0023,157,STORE0001,1,385.0,6.02,378.98
2023-08-01,PROD0008,194,STORE0003,3,355.7,2.7,1064.4
2023-09-01,PROD0026,135,STORE0006,3,211.98,43.0,592.94
2023-10-01,PROD0044,74,STORE0003,1,312.1,31.29,280.81
2023-11-01,PROD0050,137,STORE0007,5,237.19,43.8,1142.15
2023-12-01,PROD0034,8,STORE0001,4,64.06,39.16,217.08
2024-01-01,PROD0050,291,STORE0007,6,276.46,8.67,1650.09
2024-02-01,PROD0028,150,STORE0007,6,162.62,12.89,962.83
2024-03-01,PROD0045,29,STORE0005,2,315.6,23.82,607.38
2024-04-01,PROD0019,221,STORE0007,9,124.4,49.98,1069.62
2024-05-01,PROD0005,276,STORE0007,4,388.21,12.08,1540.76
2024-06-01,PROD0046,125,STORE0003,2,438.0,6.97,869.03
2024-07-01,PROD0045,169,STORE0004,3,24.22,11.99,60.67
2024-08-01,PROD0044,119,STORE0002,1,431.18,35.09,396.09
2024-09-01,PROD0002,141,STORE0001,3,114.19,0.04,342.53
2024-10-01,PROD0039,126,STORE0009,8,388.08,1.12,3103.52
2024-11-01,PROD0037,13,STORE0008,1,266.14,22.1,244.04
2024-12-01,PROD0026,74,STORE0007,2,449.05,15.45,882.65
2023-01-01,PROD0032,189,STORE0006,5,126.65,6.15,627.1
2023-02-01,PROD0046,86,STORE0007,6,84.04,16.76,487.48
2023-03-01,PROD0024,135,STORE0003,4,224.53,22.58,875.54
2023-04-01,PROD0003,61,STORE0006,4,136.87,44.59,502.89
2023-05-01,PROD0027,84,STORE0003,7,180.48,8.75,1254.61
2023-06-01,PROD0026,190,STORE0007,4,444.9,20.12,1759.48
2023-07-01,PROD0017,280,STORE0008,5,200.18,22.11,978.79
2023-08-01,PROD0010,286,STORE0010,1,228.42,27.48,200.94
2023-09-01,PROD0049,156,STORE0001,9,328.71,27.25,2931.14
2023-10-01,PROD0022,157,STORE0008,3,487.4,36.05,1426.15
2023-11-01,PROD0048,71,STORE0004,3,111.56,36.35,298.33
2023-12-01,PROD0036,26,STORE0001,2,195.37,36.96,353.78
2024-01-01,PROD0022,283,STORE0004,2,415.04,38.22,791.86
2024-02-01,PROD0046,88,STORE0005,9,328.25,25.76,2928.49
2024-03-01,PROD0035,278,STORE0009,6,443.71,29.46,2632.8
2024-04-01,PROD0037,221,STORE0008,9,458.1,25.36,4097.54
2024-05-01,PROD0036,134,STORE0007,9,37.89,40.67,300.34
2024-06-01,PROD0044,26,STORE0003,1,283.4,11.98,271.42
2024-07-01,PROD0010,38,STORE0004,1,486.29,5.07,481.22
2024-08-01,PROD0029,260,STORE0003,6,433.35,38.64,2561.46
2024-09-01,PROD0033,63,STORE0001,3,448.38,2.32,1342.82
2024-10-01,PROD0008,217,STORE0006,1,427.86,42.51,385.35
2024-11-01,PROD0044,72,STORE0006,7,382.72,16.58,2662.46
2024-12-01,PROD0003,34,STORE0002,1,193.54,47.96,145.58
2023-01-01,PROD0026,13,STORE0006,9,107.0,47.03,915.97
2023-02-01,PROD0031,35,STORE0004,6,74.06,19.11,425.25
2023-03-01,PROD0019,233,STORE0008,5,418.95,12.62,2082.13
2023-04-01,PROD0044,31,STORE0010,8,280.52,2.98,2241.18
2023-05-01,PROD0031,10,STORE0003,9,282.65,17.86,2525.99
2023-06-01,PROD0003,118,STORE0006,6,481.42,13.74,2874.78
2023-07-01,PROD0023,175,STORE0010,1,160.72,12.92,147.8
2023-08-01,PROD0027,208,STORE0009,3,27.5,34.84,47.66
2023-09-01,PROD0005,251,STORE0003,3,148.78,12.29,434.05
2023-10-01,PROD0026,116,STORE0008,2,173.84,36.2,311.48
2023-11-01,PROD0006,67,STORE0008,2,295.32,34.53,556.11
2023-12-01,PROD0035,79,STORE0007,4,242.15,31.99,936.61
2024-01-01,PROD0012,10,STORE0008,9,231.43,19.22,2063.65
2024-02-01,PROD0013,134,STORE0008,3,223.63,49.99,620.9
2024-03-01,PROD0049,286,STORE0001,7,27.88,46.41,148.75
2024-04-01,PROD0021,62,STORE0002,1,332.24,29.13,303.11
2024-05-01,PROD0035,178,STORE0001,2,493.36,41.62,945.1
2024-06-01,PROD0005,295,STORE0004,6,295.45,16.82,1755.88
2024-07-01,PROD0012,276,STORE0009,3,298.4,12.5,882.7
2024-08-01,PROD0032,139,STORE0007,1,226.92,6.94,219.98
2024-09-01,PROD0042,152,STORE0010,7,302.64,5.82,2112.66
2024-10-01,PROD0010,262,STORE0003,5,112.81,20.99,543.06
2024-11-01,PROD0017,191,STORE0001,7,170.67,46.35,1148.34
2024-12-01,PROD0021,60,STORE0007,9,291.72,49.89,2575.59
2023-01-01,PROD0024,87,STORE0002,5,143.46,48.49,668.81
2023-02-01,PROD0025,293,STORE0003,6,339.61,42.42,1995.24
2023-03-01,PROD0044,213,STORE0005,9,252.35,36.87,2234.28
2023-04-01,PROD0039,152,STORE0006,3,426.71,9.7,1270.43
2023-05-01,PROD0006,248,STORE0003,4,240.19,40.13,920.63
2023-06-01,PROD0013,229,STORE0006,1,479.06,43.2,435.86
2023-07-01,PROD0009,25,STORE0003,7,87.86,33.98,581.04
2023-08-01,PROD0050,42,STORE0006,3,93.9,28.37,253.33
2023-09-01,PROD0038,69,STORE0004,6,229.43,14.19,1362.39
2023-10-01,PROD0046,86,STORE0009,3,457.09,8.84,1362.43
2023-11-01,PROD0020,84,STORE0002,4,252.81,24.66,986.58
2023-12-01,PROD0036,124,STORE0006,4,437.0,10.01,1737.99
2024-01-01,PROD0025,1,STORE0008,4,54.28,28.65,188.47
2024-02-01,PROD0042,50,STORE0007,3,236.17,38.89,669.62
2024-03-01,PROD0013,114,STORE0002,3,325.97,24.65,953.26
2024-04-01,PROD0018,293,STORE0006,3,444.09,42.2,1290.07
2024-05-01,PROD0033,112,STORE0006,5,176.14,12.4,868.3
2024-06-01,PROD0017,144,STORE0005,7,178.99,16.42,1236.51
2024-07-01,PROD0030,71,STORE0003,4,164.81,16.25,642.99
2024-08-01,PROD0049,176,STORE0004,1,191.49,15.28,176.21
2024-09-01,PROD0004,20,STORE0010,3,120.12,14.21,346.15
2024-10-01,PROD0041,35,STORE0002,3,313.72,19.15,922.01
2024-11-01,PROD0035,22,STORE0001,4,175.52,29.11,672.97
2024-12-01,PROD0023,149,STORE0008,8,246.2,32.19,1937.41
2023-01-01,PROD0026,178,STORE0001,3,475.85,43.99,1383.56
2023-02-01,PROD0043,155,STORE0004,1,93.29,0.77,92.52
2023-03-01,PROD0033,81,STORE0009,8,396.54,33.64,3138.68
2023-04-01,PROD0012,39,STORE0004,8,139.09,23.66,1089.06
2023-05-01,PROD0037,278,STORE0002,9,73.98,3.12,662.7
2023-06-01,PROD0022,216,STORE0004,4,230.39,24.32,897.24
2023-07-01,PROD0031,189,STORE0004,6,401.4,45.76,2362.64
2023-08-01,PROD0042,211,STORE0008,4,433.79,29.79,1705.37
2023-09-01,PROD0024,40,STORE0002,4,68.67,1.6,273.08
2023-10-01,PROD0024,192,STORE0008,4,411.44,28.59,1617.17
2023-11-01,PROD0009,113,STORE0010,7,159.32,21.88,1093.36
2023-12-01,PROD0046,212,STORE0003,7,109.38,49.85,715.81
2024-01-01,PROD0026,145,STORE0009,1,472.65,29.13,443.52
2024-02-01,PROD0006,78,STORE0001,1,291.85,19.49,272.36
2024-03-01,PROD0035,269,STORE0010,1,444.59,28.3,416.29
2024-04-01,PROD0019,192,STORE0003,7,51.52,24.65,335.99
2024-05-01,PROD0016,296,STORE0008,2,253.23,39.9,466.56
2024-06-01,PROD0039,300,STORE0008,9,476.28,22.55,4263.97
2024-07-01,PROD0016,180,STORE0002,9,211.38,4.26,1898.16
2024-08-01,PROD0050,40,STORE0001,3,239.97,18.11,701.8
2024-09-01,PROD0010,271,STORE0006,9,129.04,47.85,1113.51
2024-10-01,PROD0050,24,STORE0002,9,83.02,6.12,741.06
2024-11-01,PROD0036,144,STORE0005,3,121.51,15.73,348.8
2024-12-01,PROD0038,192,STORE0001,2,220.87,40.56,401.18
2023-01-01,PROD0049,278,STORE0008,7,49.27,15.58,329.31
2023-02-01,PROD0050,204,STORE0009,9,349.52,24.01,3121.67
2023-03-01,PROD0017,273,STORE0004,6,345.02,27.69,2042.43
2023-04-01,PROD0040,58,STORE0009,3,160.32,1.09,479.87
2023-05-01,PROD0017,62,STORE0010,4,431.27,49.66,1675.42
2023-06-01,PROD0031,253,STORE0010,7,355.99,1.96,2489.97
2023-07-01,PROD0010,126,STORE0008,7,347.67,38.0,2395.69
2023-08-01,PROD0037,138,STORE0003,3,465.58,18.3,1378.44
2023-09-01,PROD0009,255,STORE0007,7,424.18,39.96,2929.3
2023-10-01,PROD0022,190,STORE0010,6,370.23,3.29,2218.09
2023-11-01,PROD0001,116,STORE0002,6,231.07,25.52,1360.9
2023-12-01,PROD0045,200,STORE0006,8,485.4,7.51,3875.69
2024-01-01,PROD0019,39,STORE0008,8,395.13,22.72,3138.32
2024-02-01,PROD0024,241,STORE0004,8,104.89,15.28,823.84
2024-03-01,PROD0012,85,STORE0001,3,241.0,46.08,676.92
2024-04-01,PROD0009,194,STORE0001,2,226.89,25.02,428.76
2024-05-01,PROD0032,56,STORE0006,2,388.96,34.05,743.87
2024-06-01,PROD0017,229,STORE0008,1,71.19,44.33,26.86
2024-07-01,PROD0031,257,STORE0010,2,232.2,6.75,457.65
2024-08-01,PROD0029,145,STORE0002,3,328.15,43.08,941.37
2024-09-01,PROD0008,121,STORE0004,5,231.42,28.76,1128.34
2024-10-01,PROD0042,66,STORE0004,7,134.21,9.73,929.74
2024-11-01,PROD0023,236,STORE0008,9,270.82,0.41,2436.97
2024-12-01,PROD0009,89,STORE0001,7,237.43,13.51,1648.5
2023-01-01,PROD0048,275,STORE0007,4,238.05,5.01,947.19
2023-02-01,PROD0034,22,STORE0004,3,384.78,34.42,1119.92
2023-03-01,PROD0002,275,STORE0006,1,216.98,5.52,211.46
2023-04-01,PROD0005,173,STORE0008,1,109.62,24.89,84.73
2023-05-01,PROD0008,145,STORE0009,7,83.45,33.69,550.46
2023-06-01,PROD0001,156,STORE0010,2,98.58,18.73,178.43
2023-07-01,PROD0028,104,STORE0007,8,326.79,1.96,2612.36
2023-08-01,PROD0035,170,STORE0001,5,434.63,32.89,2140.26
2023-09-01,PROD0014,133,STORE0010,6,460.65,3.34,2760.56
2023-10-01,PROD0017,121,STORE0010,5,52.37,42.55,219.3
2023-11-01,PROD0016,292,STORE0009,6,58.14,15.6,333.24
2023-12-01,PROD0025,168,STORE0004,2,113.38,36.54,190.22
2024-01-01,PROD0034,122,STORE0009,1,99.47,18.68,80.79
2024-02-01,PROD0029,107,STORE0004,9,171.57,44.42,1499.71
2024-03-01,PROD0045,6,STORE0003,7,204.59,14.46,1417.67
2024-04-01,PROD0005,10,STORE0002,6,496.96,46.5,2935.26
2024-05-01,PROD0023,161,STORE0003,1,499.48,49.09,450.39
2024-06-01,PROD0036,274,STORE0002,2,28.15,43.0,13.3
2024-07-01,PROD0027,99,STORE0004,6,266.53,28.19,1570.99
2024-08-01,PROD0029,5,STORE0005,8,240.06,7.65,1912.83
2024-09-01,PROD0001,94,STORE0004,1,473.4,42.71,430.69
2024-10-01,PROD0029,178,STORE0001,7,280.05,39.75,1920.6
2024-11-01,PROD0001,65,STORE0007,8,247.54,17.21,1963.11
2024-12-01,PROD0006,224,STORE0006,7,308.86,4.6,2157.42
2023-01-01,PROD0014,172,STORE0006,3,434.81,39.76,1264.67
2023-02-01,PROD0040,23,STORE0003,8,68.7,29.41,520.19
2023-03-01,PROD0020,67,STORE0009,7,361.09,21.83,2505.8
2023-04-01,PROD0037,257,STORE0004,2,151.44,33.39,269.49
2023-05-01,PROD0009,54,STORE0008,7,360.67,47.35,2477.34
2023-06-01,PROD0048,55,STORE0003,2,232.82,39.81,425.83
2023-07-01,PROD0030,220,STORE0003,5,423.47,9.84,2107.51
2023-08-01,PROD0001,23,STORE0001,6,172.52,11.15,1023.97
2023-09-01,PROD0039,116,STORE0007,3,94.24,0.06,282.66
2023-10-01,PROD0004,234,STORE0007,4,367.15,0.83,1467.77
2023-11-01,PROD0016,125,STORE0002,8,29.48,1.25,234.59
2023-12-01,PROD0018,247,STORE0004,1,494.76,38.89,455.87
2024-01-01,PROD0046,42,STORE0003,3,128.73,37.65,348.54
2024-02-01,PROD0010,224,STORE0003,9,336.53,7.62,3021.15
2024-03-01,PROD0026,83,STORE0002,7,148.92,20.5,1021.94
2024-04-01,PROD0029,35,STORE0008,4,452.67,13.93,1796.75
2024-05-01,PROD0043,180,STORE0007,8,258.16,32.38,2032.9
2024-06-01,PROD0016,279,STORE0005,1,313.4,16.08,297.32
2024-07-01,PROD0029,222,STORE0002,5,398.73,1.59,1992.06
2024-08-01,PROD0040,263,STORE0007,2,106.51,41.03,171.99
2024-09-01,PROD0002,8,STORE0002,4,154.8,29.08,590.12
2024-10-01,PROD0019,81,STORE0009,8,21.58,40.92,131.72
2024-11-01,PROD0006,127,STORE0001,7,283.56,40.86,1944.06
2024-12-01,PROD0042,82,STORE0002,4,183.21,7.77,725.07
2023-01-01,PROD0018,18,STORE0008,4,324.36,38.91,1258.53
2023-02-01,PROD0014,294,STORE0003,8,145.45,37.96,1125.64
2023-03-01,PROD0048,269,STORE0010,7,112.99,41.3,749.63
2023-04-01,PROD0034,43,STORE0004,7,298.61,45.66,2044.61
2023-05-01,PROD0040,125,STORE0003,5,184.04,27.2,893.0
2023-06-01,PROD0026,221,STORE0005,3,498.04,32.22,1461.9
2023-07-01,PROD0043,32,STORE0010,5,277.1,4.48,1381.02
2023-08-01,PROD0021,252,STORE0001,5,342.28,39.08,1672.32
2023-09-01,PROD0038,212,STORE0007,2,474.48,33.55,915.41
2023-10-01,PROD0020,183,STORE0010,4,393.12,6.63,1565.85
2023-11-01,PROD0007,113,STORE0007,1,130.08,44.32,85.76
2023-12-01,PROD0014,298,STORE0004,5,356.59,29.52,1753.43
2024-01-01,PROD0021,190,STORE0009,9,306.97,18.0,2744.73
2024-02-01,PROD0013,227,STORE0010,8,151.69,25.45,1188.07
2024-03-01,PROD0024,144,STORE0008,6,452.43,11.13,2703.45
2024-04-01,PROD0032,149,STORE0006,4,59.53,43.58,194.54
2024-05-01,PROD0039,61,STORE0004,1,38.82,17.84,20.98
2024-06-01,PROD0035,192,STORE0003,3,379.09,25.01,1112.26
2024-07-01,PROD0041,223,STORE0004,9,284.86,33.31,2530.43
2024-08-01,PROD0027,282,STORE0002,8,259.38,45.61,2029.43
2024-09-01,PROD0019,39,STORE0002,4,467.21,24.39,1844.45
2024-10-01,PROD0030,13,STORE0002,7,304.55,14.15,2117.7
